t,NDVI
2024-12-03,
2024-12-06,
2024-12-08,
2024-12-11,
2024-12-13,
2024-12-16,
2024-12-18,
2024-12-21,0.7477878
2024-12-23,0.63872147
2024-12-26,0.42282468
2024-12-28,0.4657487
